This game gave me a very nice and calm vibe. Perfect for relaxing,130.8,1
Mindblowing fun all around. Run it with Logitech G920 Driving Force wheel/pedals/shifter (or better) and you're set for the full experience.,330.4,1
it has really helped with my driving anxiety and all the car customizations are amazing,37.7,1
The best online racing game for casuals.,11.2,1
Breathtaking.,19.3,1
I like this game because it is a Awesome game to play you can do barn finds there is 14 of them The story line is great and the vehicles are Amazing,52.2,1
best way to waste your money in a good way for sure,8.9,1
I never play racing games but this game is insane  graphics are incredible so optimized and the gameplay is awesome.,20.1,1
Good graphics nice physics lots of cars but need sex update tho.,20.2,1
One of the best racing games in the world I really enjoyed it,11.3,1
Best Car racing game ever exists!10/10 Gfx,20.3,1
"Had it. Loved it for the game mechanics but quickly was like ""What do I do now""",29.2,1
good game,19.8,1
cool cars,15.4,1
this is so far my favourite car racing simulator game i have lot of fun is pretty and i enjoy race with my friends,64.5,1
Best arcade racing game out there. Even better than FH4. Amazing graphics.,44.7,1
In conclusion Forza Horizon 5 is a racing masterpiece that delivers an unparalleled experience for fans of the genre.,41.4,1
FH5 is a good arcade racing game. I enjoyed this too with friends and I've been playing it every week since launch.,362,1
great game played on xbox but wanted to transfer to steam for the achievements. its not a thing even through you sign into xbox ,0.6,1
Best cars game ever,7.9,1
You can have a nice car collection.,17.1,1
Forza 4 but with less british people and better engine sounds.,44.1,1
its just SLAYYYY,30.1,1
Like all the others but better,303.3,1
This game is good. Its not great but good. Its not worth 60 dollars,145.8,1
If you're a Car guy This is the game. ,45.0,1
Forza Horizon 5 is a must-have not only for fans of car games.,12.1,1
must play if you are in racer game,127.4,1
i love how many cars there are but its sad that it dosent have teslas,99.7,1
this game are really cool i like this game,10.9,1
good,41.5,1
probably the best racing game you can get.,54.8,1
Great game I like. Cars fun.,114.5,1
realistic enough,41.0,1
I like driving.,68.7,1
Best racing game all time,51.5,1
very fun and exciting game,33.9,1
The graphics are so insane they really make my new pc shine.,10.3,1
Gonna reccomend this to everyone absolute unit of a game,86.5,1
very good game,7.6,1
this is a great game.. when it works. after 200 hours of gameplay i lost my progress and support isn't replying.,279.6,0
I paid 120$ for this game and I need to pay extra for more cars? epic move,336.8,0
It's not a terrible game and would be good if you never played any of the prequels but Horizon 4 was better.,159.6,0
The graphics are great. The car selection wide. But I think I am just too old for this one. Arcade racing taken to the extreme - keep it flat to the floor and don't worry about a thing,0.6,0
Yea i'm up 300h but i don't recommend this game  because it's been out a while now  and it's still crashing way too many times,371.3,0
This game is fun and pretty at first  most of that due to the wow factor of the intro and the few subsequent races and stories but it gets stale fast after that. ,59.7,0
It has no sense of progression no actual storyline and the dialogues,55.7,0
I wait so long time then this game got crash after launching. ,0.9,0
This is an enjoyable if somewhat soulless racing game,2.7,0
yet dont get it. ,,0
it crashes or gets stuck all the freaking time,80.6,0
crashes on the first mission after the prologue at the same moment no action helps to solve this problem,0.9,0
played for 3 hours and now i got a black screen that wont go away after xbox studios,7.8,0
I cannot reccomend this game to anyone looking to enjoy a good racing experience; go play assestto corsa or BeamNG even.,291.5,0
Its just the same game again and giving us last years cars as unlocks is just lazy.,62.9,0
This game has all the aspects to be amazingly fun yet the core gameplay and the way it has been structured makes it a very underwhelming experience.,28.6,0
cars feel like they have no weight to them and to much wheel spin when driving,134.4,0
Great game but nearly unplayable because of the unskippable long and incredibly annoying cutscenes,7.7,0
I really enjoy this game and its stupendously large vehicle list but playing the game on a racing rig is horribly unforgiving frustrating and downright enjoyable 90% of the time.,89.4,0
Loading the game I spend more time than driving,81.1,0
no steering wheel the wheels are bad in this game and you can get banned for no reason,13.2,0
Cars all feel exactly the same  no real incentive to progress since they give you top tier cars right out of the gate and the AI is dumb as hell and has a ton of rubber banding,5.0,0
Game crashes too much on startup and doing game play.,5.0,0
Played the rally adventure.....It wasn't really that fun.,5.6,0
apparently don't have enough graphic quality to load the game and keeps crashing,4.5,0
Microsoft does not allow save transfers from Game Pass,0.4,0
Horrible marketing. Skip this one it makes you wonder what you even pay for.,0.7,0
Bought car pass promised all packs free expected to pay for latest car pass ,207.5,0
my game suddenly not allowing me start the game,109.0,0
Save your money just buy the previous game,4.9,0
Can't recommend. I guess it's OK but the game is a full downgrade from FH4 in almost every aspect except maybe graphics but I can't tell,20.3,0
Game does nt work i played for long time to find the bugs game always crashes when i asked for refund the refund was cancelled do not download this game its a trash ,15.1,0
a racing wheel feels terrible in this game compared to other racing games,0.6,0
I don't like this game because is boring,8.4,0
Game is a clone of the previous It's alright. ,125.1,0
You spend more time watching loading screens than racing.,247.6,0
gets boring very fast,2.3,0
It took me 10 mins to figure out how to drive a car. Everywhere I go I have to buy a car.,6.4,0
At the moment I'm struggling to recommend this game not because it isn't amazing - it's so much fun - BUT - it's crashing,46.9,0
the game wont boot i click play and it crashes immediately,0.9,0
Really good game beautifull graphics beautifull cars,12.0,1
This game is super realistic and such a fun game to play.,36.5,1
Great Game ,16.8,1
great ,45.0,1
This game is a lot of fun and the graphics are amazing ,79.2,1
Forza Horizon 5 is an immersive open-world game.,164.3,1
If you're craving a racing game of some sort but you're unsure of which one this is THE best racing experience available right now.,2.6,1
Amazing attention to detail in this game,32.5,1
First racing game I ever played and i love it.,9.8,1
good way to relax or stress race. love the game. ,129.7,0
I've had it for 2.3 hours and it has crashed to desktop 6 times already.,52.8,0
Game might be ok might be great but it's quite possible you'll never find out for yourself.,0.1,0
literally the worst forza horizon entry yet would rather play forza horizon 2 on the xb360,95.6,0
Couldn't even drive 1 meter without having to deal with a bug. What a joke.,0.5,0
you'll play it for 1 month straight and get bored then never play it again don't buy it.,280.8,0
game keeps crashing and making it very disappointing after making the complete purchase and its unplayable. ,5.9,0
game keeps on crashing ,70.3,0
The cars in this game do NOT drive well. The drifting feels AWFUL.  ,1.2,0
a game that looks like it was made to produce a good trailer and that's all. ,10.7,0
I regret buying this then just leaving it running as I can't return it now.,5.6,0
